ep,kind,rep_of,t_plus_s,t_minus_s,w_b_rpm,duty,period_s,w_hi_rpm,r_last,X_last,P_last_W,r_mean,X_mean,X_blocks,r_blocks,wall_min,worker,status
81,bo,-1,5.0,1.3,300.0,0.7936507936507937,6.3,374.9786677552102,0.27515622898548536,0.39124581342940534,3.7079013271388037,0.26907787007228073,0.3851674545162007,0.363387;0.389007;0.390991;0.391207;0.391246,0.247298;0.272917;0.274901;0.275117;0.275156,195.5886009176572,worker_11,ok
82,bo,-1,2.76,0.5,300.0,0.8466257668711656,3.26,353.2983412779807,0.2814351449646781,0.3977960060004768,3.716565901483412,0.2766981243111014,0.3930589853469003,0.364395;0.395248;0.404705;0.403150;0.397796,0.248035;0.278888;0.288344;0.286789;0.281435,194.90233973662058,worker_08,ok
83,bo,-1,1.052980683165012,0.44121622716809417,300.0,0.7047134657307433,1.494196910333106,421.59537647130287,0.275199843996769,0.39179636098649584,3.7240927526518752,0.27062603256910317,0.38722254955882957,0.360450;0.391823;0.396526;0.395518;0.391796,0.243853;0.275227;0.279929;0.278921;0.275200,196.51373672882715,worker_09,ok
84,bo,-1,5.0,1.9,300.0,0.7246376811594203,6.9,390.03418285327206,0.2761318380318483,0.3918007170269112,3.6944639951023084,0.2685469019619739,0.3842157809570369,0.359113;0.386473;0.391723;0.391969;0.391801,0.243444;0.270804;0.276054;0.276300;0.276132,195.5536937157313,worker_22,ok
85,bo,-1,3.08,0.5,300.0,0.8603351955307262,3.58,346.65224752816846,0.29007510549256216,0.40668687250622176,3.7245798384162874,0.2805338024075513,0.397145569421211,0.371745;0.400403;0.401985;0.404908;0.406687,0.255134;0.283791;0.285373;0.288296;0.290075,195.40248725414276,worker_10,ok
86,bo,-1,1.0,0.6,300.0,0.625,1.6,475.5333870754343,0.2724871522614781,0.3888659393732064,3.7171384603486017,0.26357266762351,0.3799514547352386,0.351593;0.380649;0.387759;0.390891;0.388866,0.235214;0.264270;0.271381;0.274512;0.272487,196.82738131284714,worker_36,ok
87,bo,-1,4.930076536347135,0.6864619136014266,300.0,0.8777784716122234,5.616538449948562,335.4175767736417,0.2780165909561274,0.3946465346990851,3.7251604031500705,0.27081372761758915,0.38744367136054697,0.363963;0.389899;0.394110;0.394600;0.394647,0.247333;0.273269;0.277480;0.277970;0.278017,193.53138949076336,worker_05,ok
89,bo,-1,5.0,0.8,300.0,0.8620689655172414,5.8,342.09299707020296,0.27708318237335944,0.39360711006984683,3.721774250625807,0.27043510650400093,0.3869590342004883,0.364058;0.390133;0.393418;0.393579;0.393607,0.247534;0.273609;0.276894;0.277055;0.277083,193.10880582729976,worker_23,ok
88,bo,-1,1.0784948007671704,0.5106154796431017,300.0,0.6786783863035154,1.5891102804102721,437.4126856340967,0.27969350507115537,0.3961434762945012,3.719412080873666,0.26990184241979676,0.3863518136431422,0.356989;0.388619;0.395881;0.394127;0.396143,0.240539;0.272169;0.279431;0.277677;0.279694,195.76869206825893,worker_24,ok
92,bo,-1,5.0,0.5,300.0,0.9090909090909091,5.5,324.99518988427076,0.2916862280630832,0.40848369138564905,3.730510978522753,0.2831644842055722,0.3999619475281381,0.369639;0.403041;0.409629;0.409017;0.408484,0.252841;0.286244;0.292832;0.292219;0.291686,192.02825343608856,worker_15,ok
