t,Mz_kin,conv,cupC,wallFlux
48.965633,1.4046993e-08,0.3293378,33.53311,8.3530573e-09
48.967269,1.4052766e-08,0.34204578,32.897711,8.3567457e-09
48.968232,1.4055593e-08,0.3564468,32.17766,8.3783452e-09
48.969007,1.4056576e-08,0.36739836,31.630082,8.4025659e-09
48.969727,1.4056262e-08,0.37257208,31.371396,8.4237582e-09
48.9704,1.4055037e-08,0.37122317,31.438841,8.4370525e-09
48.971073,1.4053184e-08,0.36475426,31.762287,8.441969e-09
48.971778,1.4050923e-08,0.35532708,32.233646,8.4393399e-09
48.972562,1.4048473e-08,0.34542021,32.728989,8.4306483e-09
48.973447,1.4046223e-08,0.3371018,33.14491,8.4171633e-09
48.974431,1.404464e-08,0.33141095,33.429453,8.4001999e-09
48.975543,1.4044153e-08,0.32828022,33.585989,8.3807665e-09
48.97683,1.4045368e-08,0.32832499,33.58375,8.3611535e-09
48.978278,1.4048804e-08,0.33366394,33.316803,8.3489357e-09
48.979949,1.4055086e-08,0.35247749,32.376125,8.368133e-09
48.980665,1.4056676e-08,0.3644527,31.777365,8.3884072e-09
48.981438,1.4056994e-08,0.37394858,31.302571,8.4125006e-09
48.982101,1.4056134e-08,0.3757533,31.212335,8.4289097e-09
48.98279,1.4054462e-08,0.37130745,31.434628,8.4382806e-09
48.983478,1.4052335e-08,0.36256801,31.8716,8.4391666e-09
48.984229,1.4049913e-08,0.35163608,32.418196,8.4327104e-09
48.985059,1.4047526e-08,0.34170755,32.914623,8.421051e-09
48.985993,1.4045557e-08,0.33427001,33.286499,8.405466e-09
48.98707,1.4044512e-08,0.32970831,33.514584,8.3867196e-09
48.988363,1.404523e-08,0.32845582,33.577209,8.3661563e-09
48.989818,1.4048397e-08,0.33239599,33.3802,8.3520931e-09
48.991515,1.4054756e-08,0.34918468,32.540766,8.368331e-09
48.992286,1.4056653e-08,0.36128777,31.935612,8.389733e-09
48.993058,1.4057166e-08,0.37088803,31.455599,8.4141775e-09
48.993752,1.405646e-08,0.37357468,31.321266,8.4323959e-09
48.994446,1.4054938e-08,0.37001264,31.499368,8.443042e-09
48.99514,1.4052919e-08,0.36179939,31.910031,8.4450497e-09
48.995835,1.4050651e-08,0.35214215,32.392892,8.4402329e-09
48.996668,1.4048139e-08,0.34217297,32.891352,8.4293927e-09
48.997501,1.4046041e-08,0.33524653,33.237674,8.4158448e-09
48.998334,1.4044319e-08,0.33091615,33.454192,8.4008869e-09
48.999167,1.4042881e-08,0.32834344,33.582828,8.3851626e-09
49,1.4041647e-08,0.32687811,33.656094,8.3689076e-09
49.001,1.4040774e-08,0.32596062,33.701969,8.3491288e-09
49.002179,1.4041058e-08,0.32578831,33.710585,8.3265994e-09
49.003539,1.4043325e-08,0.32734262,33.632869,8.3042882e-09
49.005079,1.4048165e-08,0.33379262,33.310369,8.290946e-09
49.006797,1.4055762e-08,0.35352426,32.323787,8.3142567e-09
49.007592,1.4058062e-08,0.36721451,31.639274,8.3422236e-09
49.008372,1.4058792e-08,0.37785532,31.107234,8.3733781e-09
49.009078,1.405818e-08,0.3808465,30.957675,8.3973971e-09
49.00977,1.4056688e-08,0.37681235,31.159382,8.4122926e-09
49.010474,1.405463e-08,0.36751718,31.624141,8.4177823e-09
49.011217,1.4052252e-08,0.35590567,32.204716,8.4151171e-09
49.012044,1.4049803e-08,0.34505834,32.747083,8.406266e-09
49.012971,1.4047694e-08,0.33715787,33.142106,8.392852e-09
49.014021,1.4046394e-08,0.33274372,33.362814,8.3763067e-09
49.015227,1.4046477e-08,0.33194404,33.402798,8.3589361e-09
49.016612,1.4048613e-08,0.33578455,33.210772,8.3462194e-09
